text,short_question,short_answer,tags
"Question: can an antibiotic through an i give you a rash a couple days later
Tags: rash, antibiotic
Answer: yes it can even after you have finished the prescription for antibiotics",can an antibiotic through an i give you a rash a couple days later,yes it can even after you have finished the prescription for antibiotics,['rash' 'antibiotic']
"Question: can you test positive from having the hep b vaccine
Tags: hepatitis b
Answer: test positive for what if you had a hep b vaccine a subsequent blood test should indicate that you now have hep b antibodies present in your blood if this is what you mean",can you test positive from having the hep b vaccine,test positive for what if you had a hep b vaccine a subsequent blood test should indicate that you now have hep b antibodies present in your blood if this is what you mean,['hepatitis b']
"Question: what are the dietary restrictions for celiac disease gluten
Tags: celiac disease
Answer: omitting gluten from the diet is the key to controlling celiac disease in patients with celiac disease strict dietary gluten elimination will heal the small intestine over time weeks to months it is imperative that your diet remains gluten free any gluten in your diet will cause the damage to your intestine to reoccur learning to follow a gluten free diet can be very daunting but with time you will see that there are many options available",what are the dietary restrictions for celiac disease gluten,omitting gluten from the diet is the key to controlling celiac disease in patients with celiac disease strict dietary gluten elimination will heal the small intestine over time weeks to months it is imperative that your diet remains gluten free any gluten in your diet will cause the damage to your intestine to reoccur learning to follow a gluten free diet can be very daunting but with time you will see that there are many options available,['celiac disease']
"Question: i have had a pneumonia shot can i get either a sinus infection or walking pneumonia from my 6 year old grand daughter and can i be a carrier to others in my age group
Tags: pneumonia, sinus infection, walking
Answer: you can always catch an illness from a child but most of these are viral like colds your pneumonia shot only protects you from certain types of bacterial pneumonia pneumococcus it would not protect you at all from viruses any respiratory virus can cause pneumonia or sinusitis if you are prone to these types of infections",i have had a pneumonia shot can i get either a sinus infection or walking pneumonia from my 6 year old grand daughter and can i be a carrier to others in my age group,you can always catch an illness from a child but most of these are viral like colds your pneumonia shot only protects you from certain types of bacterial pneumonia pneumococcus it would not protect you at all from viruses any respiratory virus can cause pneumonia or sinusitis if you are prone to these types of infections,['pneumonia' 'sinus infection' 'walking']
"Question: my baby ate her on poop my baby ate poop 4 days later she is sick weeping coughing and high fever for days straight i took her to the doctor and they said shes fine just a normal cold i told them what happen and they just said she should be fine but if she still has a fever next week come back what should i do and is her symptoms related to her eating her poop
Tags: baby, cough, fever, coldness, cold
Answer: hi one of ours did that she is now 47 and a mum never seamed to affect her as they say a little bit of dirt never hurt anybody helps build up resistance to germs good luck",my baby ate her on poop my baby ate poop 4 days later she is sick weeping coughing and high fever for days straight i took her to the doctor and they said shes fine just a normal cold i told them what happen and they just said she should be fine but if she still has a fever next week come back what should i do and is her symptoms related to her eating her poop,hi one of ours did that she is now 47 and a mum never seamed to affect her as they say a little bit of dirt never hurt anybody helps build up resistance to germs good luck,['baby' 'cough' 'fever' 'coldness' 'cold']
"Question: how to treat leiomyosarcoma and rectal cancer at the same time
Tags: leiomyosarcoma and rectal cancer
Answer: its all about tumor metastasis tumor can migrate from one place to another also there is a genic predisposition i am really sorry for this",how to treat leiomyosarcoma and rectal cancer at the same time,its all about tumor metastasis tumor can migrate from one place to another also there is a genic predisposition i am really sorry for this,['leiomyosarcoma and rectal cancer']
"Question: i smoked pigs for 1 month averaging about 3 a day just wondering if any irreversible was done i did quit since then i started smoking for a month after a period of depression a couple of months ago 2 3 pigs most days with a couple more on bad days i would estimate i probably had 4 packs total over the period i went cold turkeyey as i started to get my life together and hated the ill feeling from them i exercise regularly and eat healthy and i am still young i would just like to clear my head and hear that i did no damage permanent to my lungs i know it takes a bit to recover hopefully to 100
Tags: head, lung, coldness, exercise, healthy eating
Answer: signs and symptoms of tobacco related diseases often depend on the specific illnesses they cause there are many other symptoms of tobacco related diseases and these listed here are simply examples shortness of breath may be a sign of emphysema or heart disease chest pain may signal angina pectoriscaused by insufficient blood flow to the heart or a heart attack difficulty swallowing or persistent hoarseness may signal a cancer in the mouth or larynx painless bloody urination may signal bladder cancer the presence of any of the following common symptoms associated with tobacco use should prompt a visit to the doctor or hospital is emergency department chest pain shortness of breath persistent cough coughing up blood frequent colds and upper respiratory infections persistent hoarseness difficulty or pain on swallowing change in exercise capacity sudden weakness on one side of the face or body or difficulty speaking leg pain while walking that goes away when at rest unexplained weight loss persistent abdominal pain blood in the urine",i smoked pigs for 1 month averaging about 3 a day just wondering if any irreversible was done i did quit since then i started smoking for a month after a period of depression a couple of months ago 2 3 pigs most days with a couple more on bad days i would estimate i probably had 4 packs total over the period i went cold turkeyey as i started to get my life together and hated the ill feeling from them i exercise regularly and eat healthy and i am still young i would just like to clear my head and hear that i did no damage permanent to my lungs i know it takes a bit to recover hopefully to 100,signs and symptoms of tobacco related diseases often depend on the specific illnesses they cause there are many other symptoms of tobacco related diseases and these listed here are simply examples shortness of breath may be a sign of emphysema or heart disease chest pain may signal angina pectoriscaused by insufficient blood flow to the heart or a heart attack difficulty swallowing or persistent hoarseness may signal a cancer in the mouth or larynx painless bloody urination may signal bladder cancer the presence of any of the following common symptoms associated with tobacco use should prompt a visit to the doctor or hospital is emergency department chest pain shortness of breath persistent cough coughing up blood frequent colds and upper respiratory infections persistent hoarseness difficulty or pain on swallowing change in exercise capacity sudden weakness on one side of the face or body or difficulty speaking leg pain while walking that goes away when at rest unexplained weight loss persistent abdominal pain blood in the urine,['head' 'lung' 'coldness' 'exercise' 'healthy eating']
"Question: i have persistent headache and i feel like i have downgrade fever help hi so i am a headache everyday it is not too bad though it is completely bearable but a little distracting and i have noticed that i have downgrade fever most of the time or mostly everyday but just like the headache it is bearable i can not just shrug this feeling off this have been occurring for two or three months now i am hopefully going to the doctor in a few days and get myself checked
Tags: headache, fever
Answer: for many years i suffered from terrible headaches only when i slept did it go away i found out that there is a shortage of progesterone in my body after starting with treatment it disappears maybe you can start with testing all your hormones",i have persistent headache and i feel like i have downgrade fever help hi so i am a headache everyday it is not too bad though it is completely bearable but a little distracting and i have noticed that i have downgrade fever most of the time or mostly everyday but just like the headache it is bearable i can not just shrug this feeling off this have been occurring for two or three months now i am hopefully going to the doctor in a few days and get myself checked,for many years i suffered from terrible headaches only when i slept did it go away i found out that there is a shortage of progesterone in my body after starting with treatment it disappears maybe you can start with testing all your hormones,['headache' 'fever']
"Question: pain ring finger to the middle of arm before elbow for 45 days started after i held on to stop falling worse on lifting its not bad on 10 earlier it was more painful but now it does not hurt as much unless i type or write i have barely used my right hand for anything for the past month else the pain increases it starts hurting at one point about five fingers from my wrist but pain goes away completely if i press down on it it also hurts in the area below middle to pinkie i got an pray done already so nothing there she i get an mi if so only for wrist or forearm also or she anti inflammatories be enough thanks
Tags: pain, ring finger, finger, arm, elbow
Answer: your first and most important step is to get an accurate diagnosis which is based on examination findings you may need to see an orthopedist for a higher level examination if the orthopedist feels that you would need imaging studies then so be it but right now getting an mi may be premature anti inflammatory medications can definitely help but again having a definitive diagnosis is critical so get a referral to a specialist",pain ring finger to the middle of arm before elbow for 45 days started after i held on to stop falling worse on lifting its not bad on 10 earlier it was more painful but now it does not hurt as much unless i type or write i have barely used my right hand for anything for the past month else the pain increases it starts hurting at one point about five fingers from my wrist but pain goes away completely if i press down on it it also hurts in the area below middle to pinkie i got an pray done already so nothing there she i get an mi if so only for wrist or forearm also or she anti inflammatories be enough thanks,your first and most important step is to get an accurate diagnosis which is based on examination findings you may need to see an orthopedist for a higher level examination if the orthopedist feels that you would need imaging studies then so be it but right now getting an mi may be premature anti inflammatory medications can definitely help but again having a definitive diagnosis is critical so get a referral to a specialist,['pain' 'ring finger' 'finger' 'arm' 'elbow']
"Question: what are the ingredients ibuprofen i take a 600mg ibuprofen only as needed for nerve pain my question is what ingredients are in this medication i have a legal prescription for it
Tags: ibuprofen, nerve, pain
Answer: ibuprofen is the ingredient the only ingredient a 200 mg tablet of ibuprofen is available over the counter without a prescription but a 600 mg or 800 mg tablet requires a prescription",what are the ingredients ibuprofen i take a 600mg ibuprofen only as needed for nerve pain my question is what ingredients are in this medication i have a legal prescription for it,ibuprofen is the ingredient the only ingredient a 200 mg tablet of ibuprofen is available over the counter without a prescription but a 600 mg or 800 mg tablet requires a prescription,['ibuprofen' 'nerve' 'pain']
